question,generated_question,bleu,rouge_l,meteor
"According to the passage, David   _  .","According to the passage, All his hard work paid off.",0.2626909894424158,0.5333333333333333,0.701058201058201
Which of the following shows that the find of the glacier discovery is a surprise?,"Which of the following is true? Meanwhile, in the 21 December issue of Science, a team from HarvardUniversityand the Massachusetts Institute of Technolo.",0.126254971485354,0.3684210526315789,0.37163742690058477
"When the author finally played ""Amazing Grace"" for Dad,   _  .","According to the passage, when He was kind, strong, fair, and very funny?",0.018476860420522198,0.09090909090909093,0.10416666666666666
Kelly was scared before the relay race because she was afraid that   _  .,"According to the passage, But she has a hard time in P.E.",0.01714632199160149,0.16,0.10714285714285715
_   are in their room.,"According to the passage, Cara and Ben are twins .",0.021105340631872645,0.15384615384615383,0.15384615384615385
All of the solutions are mentioned except  _,"According to the passage, Family love plays an important role in providing mental comfort for the elderly.",0.011502783619900045,0.08333333333333333,0.054945054945054944
"From this letter,we can conclude that the writer and Mr. Barton are   _  .","According to the passage, We've really had just about enough of you.Although we have tried to speak to you civilly on several occasions,you have a.",0.007575731225158965,0.04878048780487805,0.1149425287356322
What did the monster advertise for?,"According to the passage, what ""One friend would be enough?",0.025098621243978974,0.125,0.19736842105263158
Which would be the best title for the passage?,"Which of the following is true? Of course, humor is largely an individual matter.Next time your friend does not get one of your jokes, there is no need .",0.007696339439306161,0.10526315789473684,0.1639344262295082
Who invented the tea bag?,"According to the passage, who Do you know how it came about?",0.020255986027125642,0.11764705882352941,0.22058823529411767
"If an Indian had more than ten names, it meant that   _   .","According to the passage, Sometimes an Indian would be asked to give his name to a son who had performed a noticeable deed.I know of only three of.",0.015718877363021206,0.15,0.2733262108262108
"Chinese government decided to give up   _   from September 17, 2008.","According to the passage, The rule of food with no checking made in 1999 was given up from that day.",0.012673718536830811,0.2,0.34503009837028337
What often makes foreigners feel difficult to do business in Japan?,"According to the passage, what So instead of saying ""No"" directly, the Japanese have developed many ways to avoid  saying ""No""?",0.010862721615727716,0.125,0.1838235294117647
The writer's advice is    _   .,"According to the passage, Do you sometimes argue about what seems to you to be a simple fact .",0.012109013026441871,0.08695652173913045,0.12048192771084336
PATT teaches students to  _  .,"According to the passage, They try to teach them about peer pressure  .",0.018476860420522198,0.125,0.22058823529411767
Who likes the song?,"According to the passage, who Parents use it to teach their young children the days of the week?",0.01284618972676772,0.1818181818181818,0.23076923076923075
What do we know about Tina?,"According to the passage, what org
Do you need a babysitter that you can trust?",0.015718877363021206,0.19047619047619044,0.18749999999999997
Men can manage to reach firm ground by   _  .,"According to the passage, With feet held still, and with slow movements of the arms, as in the backstroke in swimming men can manage to roll to sa.",0.08359764098433711,0.22222222222222224,0.3655737704918033
Tom has breakfast  _  .,"According to the passage, He has an egg and some milk for his breakfast.",0.01428363257865929,0.23529411764705882,0.24590163934426226
Which of the following is NOT true about Gao Xiaosong?,"Which of the following is true? On May 10 he was pictured at Beijing's traffic police headquarters where he turned down requests for interviews,but wrot.",0.1410002457876886,0.32432432432432434,0.5212782787533619
"From the passage, we know that   _  .","According to the passage, Fruit grows in all parts of America.",0.03986357128268015,0.23529411764705885,0.39893617021276595
Which of the following is TRUE?,"Which of the following is true? His wife heard him, but she didn't hear you.",0.3237722713145643,0.5454545454545454,0.8524141363862618
Which of the followings is NOT the reason for Cai to make his decision?,Which of the following is true? His parents finally gave their agreement and his teachers also supported him.,0.060745880708766846,0.375,0.407258064516129
Which of the following statements is NOT true according to the passage?,Which of the following is true? I will sign up for Google.,0.22416933501922293,0.5,0.36610063872877396
"The best title for the passage should be ""  _  ""","According to the passage, The survey found that people expect the transitions to grown-up _ to be completed at the following ages: age 20.9 self-s.",0.010713701843513142,0.17142857142857143,0.1968503937007874
Why should we work on the most difficult task first?,"According to the passage, why Try not to do too much studying at one time?",0.015718877363021206,0.08,0.12931034482758622
"By saying ""They didn't have far to go to be like any other family"", the writer means  _  .","According to the passage, She explained that if Amy were to adopt the boys, they would become like any other family.",0.0537621294693616,0.30769230769230765,0.38460162427104577
Why does the author stress failure in kids' life?,"According to the passage, why My children now are becoming little masters of compromise, but they try to negotiate   everything now.It's a small price?",0.009410489957951634,0.05714285714285715,0.15748031496062995
Which of the following does this passage make you believe?,Which of the following is true? Fruit grows in all parts of America.,0.1933853138176172,0.34782608695652173,0.32631578947368417
Why did the man want to find a job in the palace?,"According to the passage, why Now I show no interest in this kind of life any more?",0.01626739260030573,0.13793103448275862,0.18382352941176472
What type of TV programme is A Bite of China Season Two?,"According to the passage, what I remember my father taught me how to fish when I was a kid?",0.012109013026441871,0.12903225806451615,0.10869565217391305
What's the passage mainly about?,"According to the passage, what Pets shows are held during the week?",0.017033186037639283,0.2222222222222222,0.25974025974025977
What is the general idea of the text?,"According to the passage, what Being the first to arrive -- looking eager -- is social death?",0.01626739260030573,0.1739130434782609,0.25
How does Alex's dad help?,"According to the passage, how Alex,Nicole and Vickie are friends.They live in the same neighborhood.They want to make some money to buy Christmas pres?",0.007913247271422612,0.12121212121212122,0.16483516483516483
Lucy Li qualified for a US Women's Open Golf tournament  _  .,"According to the passage, Posted: 06/19/2014 12:00 a.m.",0.0,0.08695652173913043,0.03906250000000001
Jack became worried because   _   .,"According to the passage, One Sunday afternoon a young man came to visit my friend.",0.0,0.0,0.07042253521126761
The writer participated in the volunteering job in order to  _  .,"According to the passage, ""Too many people haven't seen much of that around here,"" he said,"" Life is full of hope and we need to live life before .",0.008517399705356638,0.10256410256410257,0.13888888888888892
Why did the writer and David decide to plan everything themselves?,"According to the passage, why David proposed to me on May 15, 2011 in front of both of our families?",0.013618796864073041,0.19354838709677416,0.19083969465648856
"According to the passage, besides newspapers, people also get information        from  _  .","According to the passage, Newspapers can be found everywhere in the world.",0.19505518236282093,0.43478260869565216,0.3570679530201342
Which of the following statements is NOT true according to the passage?,"Which of the following is true? ""I have agreed to join the first Chinese class as a pupil.",0.15464260451973763,0.5333333333333333,0.5555555555555557
Greenhouse effect comes from  _  .,"According to the passage, These people can no longer live on the coast.",0.0,0.0,0.07246376811594203
What message can we get from the two photos in the magazine?,"According to the passage, what One was of a young gorilla?",0.0204689180374571,0.08695652173913043,0.11538461538461539
What can we infer from the passage?,"According to the passage, what However, for some strange reason this ""inner voice"" kept urging me to talk to this man?",0.010862721615727716,0.14285714285714285,0.32206632653061223
What's the matter with James in the oasis?,"According to the passage, what Hatred  can bring you nothing but unhappiness .If you don't forgive others,you are making trouble for yourself.Keep a pe?",0.007913247271422612,0.05555555555555555,0.12605042016806722
What contributes most to smoothing over issues with customers?,"According to the passage, what Store managers are often the last to hear complaints?",0.0169861974906263,0.17391304347826086,0.14150943396226412
What do we learn about H1N1 from the passage?,"According to the passage, what Michael Osterholm is a former adviser to the U.S?",0.0169861974906263,0.16666666666666669,0.18867924528301888
